texto,sentimiento
"La música estuvo bien, aunque repetitiva","neutral"
"Todo estuvo medianamente bien","neutral"
"Las actividades estuvieron bien distribuidas","neutral"
"Hubo momentos largos de espera","neutral"
"El guía fue amable, aunque algo serio","neutral"
"Un servicio estable, sin fallas importantes","neutral"
"Buena opción si solo quieres conocer el lugar","neutral"
"El recorrido fue normalito","neutral"
"Pasable, pero podría mejorar","neutral"
"Un tour bastante regular","neutral"
"Todo estuvo en orden","neutral"
"Una actividad sencilla para pasar el día","neutral"
"Experiencia aceptable sin inconvenientes","neutral"
"El servicio fue suficiente para lo básico","neutral"
"El paseo fue neutro en general","neutral"
"Todo estuvo bien pero sin emoción","neutral"
"Correcto, aunque un poco repetitivo","neutral"
"Buena duración del tour, aunque faltó emoción","neutral"
"Las actividades no fueron ni muy buenas ni muy malas","neutral"
"Un recorrido estable, cumple con lo necesario","neutral"
"Experiencia neutra, sin puntos altos","neutral"
"El servicio fue muy malo, no lo recomiendo","negativo"
"El tour estuvo desorganizado desde el inicio","negativo"
"Los guías no sabían responder casi nada","negativo"
"La comida estaba fría y sin sabor","negativo"
"Me aburrió, esperaba mucho más","negativo"
"Hubo mucho retraso y nadie explicaba nada","negativo"
"El barco estaba sucio y descuidado","negativo"
"Las actividades fueron muy pocas y aburridas","negativo"
"No cumplió con lo que prometieron","negativo"
"Me sentí inseguro durante parte del recorrido","negativo"
"El guía fue grosero y poco profesional","negativo"
"Horrible experiencia, no volvería","negativo"
"El sonido era muy fuerte e incómodo","negativo"
"El transporte llegó tarde y mal organizado","negativo"
"Una pérdida de dinero, muy mala experiencia","negativo"
"Había demasiada gente, no lo disfruté","negativo"
"El equipo estaba viejo y en mal estado","negativo"
"No me gustó nada del recorrido","negativo"
"Todo se sintió apresurado y sin atención","negativo"
"La información era muy pobre y confusa","negativo"
"El personal fue descortés","negativo"
"Las fotos estaban carísimas","negativo"
"La actividad fue demasiado corta","negativo"
"Me mareé y nadie me ofreció ayuda","negativo"
"Los baños del barco estaban asquerosos","negativo"
"El tour duró menos de lo que anunciaron","negativo"
"El guía parecía que no quería trabajar","negativo"
"Muy mala organización, caos total","negativo"
"El clima arruinó todo y no dieron alternativas","negativo"
"Las actividades parecían improvisadas","negativo"
"Hubo fallas en el equipo de seguridad","negativo"
"Las indicaciones no fueron claras","negativo"
"El staff no mostró interés en atender","negativo"
"Los tiempos no se respetaron","negativo"
"Nunca más tomaré este tour","negativo"
"Las sillas del barco estaban rotas","negativo"
"No vale lo que cuesta","negativo"
"El guía hablaba muy rápido y no se entendía","negativo"
"Me pareció una experiencia mediocre","negativo"
"El aire acondicionado no funcionaba","negativo"
"No había suficiente sombra en el recorrido","negativo"
"La comida no era fresca","negativo"
"Las actividades eran totalmente diferentes a las fotos","negativo"
"El personal jamás sonrió, mal ambiente","negativo"
"El barco se movía demasiado y fue incómodo","negativo"
"No volvería a contratar con esta empresa","negativo"
"Me dejaron esperando más de 30 minutos","negativo"
"Las medidas de seguridad no fueron adecuadas","negativo"
"Mal trato al cliente, muy decepcionante","negativo"
"Los chalecos estaban sucios y desgastados","negativo"
"Todo se sintió improvisado","negativo"
"Mala experiencia en general","negativo"
"El guía ignoraba nuestras preguntas","negativo"
"Las actividades fueron aburridas","negativo"
"Me quedé con una sensación muy negativa","negativo"
"El recorrido duró muy poco","negativo"
"Se notaba falta de preparación del staff","negativo"
"No había suficiente personal para atender","negativo"
"El barco olía mal todo el tiempo","negativo"
"Las explicaciones eran muy básicas","negativo"
"Hubo problemas con el pago y nadie ayudó","negativo"
"El guía se veía distraído todo el tiempo","negativo"
"Las actividades estaban mal organizadas","negativo"
"Se quedaron sin equipo para varias personas","negativo"
"Me pareció muy aburrido y lento","negativo"
"No cumplió ni cerca con mis expectativas","negativo"
"Mucho ruido y poca organización","negativo"
"Las fotos eran muy malas y carísimas","negativo"
"Todo fue un desastre desde el inicio","negativo"
"Me hubiera gustado cancelar, muy malo","negativo"
"Ambiente incómodo durante todo el tour","negativo"
"Las instalaciones estaban en mal estado","negativo"
"El guía no sabía nada del lugar","negativo"
"Las actividades duraron muy poco","negativo"
"Hubo discusiones entre el staff delante del grupo","negativo"
"Muy mala vibra en todo el recorrido","negativo"
"El paseo se sintió eterno y aburrido","negativo"
"La música era molesta y repetitiva","negativo"
"Nunca recibimos la atención prometida","negativo"
"No había organización en absoluto","negativo"
"Se sintió como una pérdida de tiempo","negativo"
"Las bebidas estaban calientes","negativo"
"Me sentí ignorado por el personal","negativo"
"El equipo de snorkel estaba en pésimas condiciones","negativo"
"Las indicaciones fueron confusas","negativo"
"Hubo problemas desde la salida","negativo"
"Todo salió mal ese día","negativo"
"El servicio fue pésimo","negativo"
"Demasiadas personas en el mismo espacio","negativo"
"El guía parecía molesto con todos","negativo"
"Las fotos no valían la pena","negativo"
"Una experiencia que no repetiría jamás","negativo"
"La embarcación se veía descuidada","negativo"
"Problemas técnicos retrasaron todo","negativo"
"No hubo suficiente información del tour","negativo"
"El lugar estaba sucio","negativo"
"Todo estuvo muy por debajo de mis expectativas","negativo"
"No lo recomiendo para nada","negativo"
"Me sentí incómodo todo el tiempo","negativo"
"Hubo mucha mala organización","negativo"
"El guía no tenía buena actitud","negativo"
"Las actividades fueron decepcionantes","negativo"
"El tour fue un completo desastre","negativo"
"El personal no estaba capacitado","negativo"
"habian muchas arañas, fue horrible","negativo"
"NO ME GUSTÓ, ME ENCANTÓ!","positivo"
"fue muy divertido el viaje, me encanto","positivo"
"habia un monton de insectos fue horrible","negativo"
"no me gustó el trato con el cliente del vendedor","negativo"
"es dificil nadar con los tuburones por donde nos llevó el guia","negativo"
"la mesera fue grosera","negativo"
"la mesera fue grosera, no me gusto","negativo"
"el viaje fue muy incomodo","negativo"
"no me trataron bien los meseros, fueron groseros","negativo"
"la vista no me gusto, el agua estaba sucia","negativo"
"fue aburrido y los guias no nos hacian caso","negativo"
"muy groseros los tripulantes","negativo"   
"aburrido, los guias nos ignoraban","negativo"
"aburrido, los guias fueron groseros","negativo"
"las vistas no eran bonitas, me aburrí","negativo"
"fue aburrido y los guias no nos hacian caso","negativo"
"muy groseros los tripulantes","negativo"
"las vistas no eran bonitas, me aburrí","negativo"
